behav,S,a1,a2,a5,a6,a7,h1,h2,h5,c1,c2,c3,c4,d1,d3,Decay1,Decay2,Decay4,Decay7,Decay8,leakage_A1,leakage_B,leakage_HSPR,hstart,hduration,model_name,end_time
sto,0.9292975819619604,10.843964238080716,171.1232267065294,38.19258236239798,2,300,8.638020381,5.39705384,6.756646332322424,5.301257805743664,4.906700588855031,14.337482467177145,0.5727198507448372,0.066113819,0.085129991,0.04,0.04,0.04,0.04,0.04,0.005924309,0.008542155,0.007563455,600,30,replaceA1,1000.0006297414179
sto,0.8759525717607389,9.10259891,212.98416982493785,34.225166774052894,2,300,3.0767641571309454,2.8493901773843726,6.1398017868415335,7.504123634340218,1.0676640197365765,12.843183423285979,1.3540969927713706,0.033108317331212556,0.084841698,0.04,0.04,0.04,0.04,0.04,0.001892348,0.007006958,0.007838123,600,30,replaceA1,1000.000241364513
sto,0.4424097967089631,26.82520869,176.66521605705836,19.638292269870725,2,300,5.9543207521435155,4.594443529196122,1.5319188438380444,6.735534237996468,3.057584237111132,7.7095942442723455,1.6823446213664055,0.093291,0.086713843,0.04,0.04,0.04,0.04,0.04,0.002363932,0.007461556,0.004402788,600,30,replaceA1,1000.0003061028909
sto,0.3926339646042228,14.092839433329399,59.49684501305737,30.531272048289477,2,300,4.036747835883519,1.2989955970196392,8.801222183062352,10.979992438514987,1.9195053576555245,7.237277276078605,0.14323583670311918,0.019868121973944136,0.055676578185731414,0.04,0.04,0.04,0.04,0.04,0.001076952,0.00186738,0.003569362,600,30,replaceA1,1000.0019456935443
sto,0.18424548749019554,9.305159645,146.02081577884252,34.115270833986244,2,300,5.873227720922837,4.234070166528797,7.862083954,8.704483808849005,1.3473530932427715,12.108083865470014,1.9408170312630955,0.023964831717602806,0.091329744,0.04,0.04,0.04,0.04,0.04,0.008569851,0.003864109,0.005130771,600,30,replaceA1,1000.0001584119449
det,9.583945401,49.432126171092136,187.87677907374245,24.082034687596085,2,300,2.3113057664005607,9.250425699470957,3.5162228606086305,10.698873498703076,3.449718856766417,13.978848628484519,1.329376157742346,0.066468662,0.056994564,0.04,0.04,0.04,0.04,0.04,0.004165025,0.00586815,0.007395629,600,30,replaceA1,1000.000567990024
sto,5.818667552,21.31403991986441,160.64190779311178,12.025106593857474,2,300,5.018441917141907,2.5159934956254366,5.328949695050327,14.068785613800012,2.2688123205986455,5.4004351108751125,1.3606945962935968,0.010544194,0.017881567935505736,0.04,0.04,0.04,0.04,0.04,0.008103734,0.003437181,0.007126406,600,30,replaceA1,1000.0007039408163
sto,0.091125215,14.413237751454629,106.91725468948968,22.06228624793719,2,300,8.838772869554107,3.6373073206175492,6.02498448,7.741741751191304,0.9162222035046272,6.954460887497181,0.16556585207826213,0.064433984,0.071053889,0.04,0.04,0.04,0.04,0.04,0.005829841,0.004566341,0.009036114,600,30,replaceA1,1000.0002413664305
pulsing?,0.059273135,7.232497483072691,182.27104107586896,15.242196547408984,2,300,8.429083725461348,4.025366135519761,6.502208767891648,10.414544872137117,3.4546824800062113,12.397795327525804,1.1793644223171096,0.03076357,0.032507300140279076,0.04,0.04,0.04,0.04,0.04,0.00775411,0.003841974,0.005350674,600,30,replaceA1,1000.0001444368822
pulsing?,-4.212513242,9.235405102728048,160.6974196359809,40.22314534575892,2,300,8.519308354204147,2.4105358525681333,3.047179264209191,8.732093738944418,2.336953728752511,8.292298927418901,0.8674018834720467,0.058399297,0.01751206,0.04,0.04,0.04,0.04,0.04,0.007353581,0.006905594,0.002891868,600,30,replaceA1,1000.0027208984216
sto,-5.234851378,5.585772689046167,83.42070577458567,18.13796225018064,2,300,8.124010162985563,7.375993656472849,9.645206328865013,6.444407407123869,4.440807985860549,11.004359317760876,0.9054550899946608,0.065267859,0.012064198,0.04,0.04,0.04,0.04,0.04,0.00496105,0.009497973,0.001532079,600,30,replaceA1,1000.0020733248092
